player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
670,Robin Roefs,Sunderland,17,1,4.6,4.958979181615618,1,0,0,MUN (A)
683,Omar Alderete,Sunderland,17,2,4.1,9.42025827620561,1,0,1,MUN (A)
636,Santiago Ignacio Bueno,Wolves,20,2,4.4,6.795482747544286,1,0,0,BHA (H)
72,Marcos Senesi Barón,Bournemouth,4,2,5.0,5.921513329502223,1,0,0,FUL (H)
8,Jurriën Timber,Arsenal,1,2,5.9,5.68066995733712,1,0,0,WHU (H)
508,Neco Williams,Nott'm Forest,16,2,4.8,5.579068875110352,1,0,0,NEW (A)
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,18,3,5.5,4.977344728936935,1,0,0,LEE (A)
668,Granit Xhaka,Sunderland,17,3,5.0,4.578659775353243,1,0,0,MUN (A)
160,Yankuba Minteh,Brighton,6,3,6.0,4.458548624243213,1,0,0,WOL (A)
430,Erling Haaland,Man City,13,4,14.5,6.693940803653334,1,0,0,BRE (A)
249,João Pedro Junqueira de Jesus,Chelsea,7,4,7.7,6.5415487994176855,1,0,0,LIV (H)
