player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
470,Martin Dúbravka,Burnley,3,1,4.0,3.5097056375425453,1,0,0,BOU (A)
6,William Saliba,Arsenal,1,2,6.0,7.011559318650557,1,0,1,EVE (A)
342,Jayden Bogle,Leeds,11,2,4.5,5.2169590304197655,1,0,0,CRY (H)
291,James Tarkowski,Everton,9,2,5.4,4.260735383127701,1,0,0,ARS (H)
258,Tyrick Mitchell,Crystal Palace,8,2,5.0,4.217789528808717,1,0,0,LEE (A)
350,Brenden Aaronson,Leeds,11,3,5.4,4.914372971837176,1,0,0,CRY (H)
356,Ilia Gruev,Leeds,11,3,4.8,4.552809736195881,1,0,0,CRY (H)
83,Dango Ouattara,Brentford,5,3,6.0,4.521440103390832,1,0,0,WOL (A)
727,Samuel Chukwueze,Fulham,10,3,5.3,4.464667293919499,1,0,0,NFO (H)
210,Loum Tchaouna,Burnley,3,3,4.9,4.4106493231340735,1,0,0,BOU (A)
249,João Pedro Junqueira de Jesus,Chelsea,7,4,7.4,4.599704567606684,1,0,0,NEW (A)
