player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
182,James Trafford,Man City,13,1,4.7,6.225040772402973,1,0,0,FUL (A)
110,Michael Kayode,Brentford,5,2,4.5,4.881917895905688,1,0,0,ARS (A)
5,Gabriel dos Santos Magalhães,Arsenal,1,2,6.4,3.930292455023787,1,0,0,BRE (H)
342,Jayden Bogle,Leeds,11,2,4.5,3.626137460994456,1,0,0,CHE (H)
328,Ryan Sessegnon,Fulham,10,3,5.4,8.712737013966503,1,0,1,MCI (H)
17,Martin Ødegaard,Arsenal,1,3,7.9,5.994055388724448,1,0,0,BRE (H)
388,Curtis Jones,Liverpool,12,3,5.4,5.590832463445118,1,0,0,SUN (H)
26,Martín Zubimendi Ibáñez,Arsenal,1,3,5.5,4.507843641871425,1,0,0,BRE (H)
82,Antoine Semenyo,Bournemouth,4,3,8.1,4.386792736917026,1,0,0,EVE (H)
311,Norberto Bercique Gomes Betuncal,Everton,9,4,5.3,4.933202485041659,1,0,0,BOU (A)
430,Erling Haaland,Man City,13,4,14.7,4.193686205454343,1,0,0,FUL (A)
