player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
366,Alisson Becker,Liverpool,12,1,5.4,5.068279614620257,1,0,0,LEE (H)
6,William Saliba,Arsenal,1,2,6.0,7.700384418508383,1,0,0,AVL (H)
232,Tosin Adarabioyo,Chelsea,7,2,4.2,6.2206549378675176,1,0,0,BOU (H)
261,Chris Richards,Crystal Palace,8,2,4.6,5.025433183297863,1,0,0,FUL (H)
106,Nathan Collins,Brentford,5,2,4.9,4.934407741753948,1,0,0,TOT (H)
727,Samuel Chukwueze,Fulham,10,3,5.3,8.574456532621712,1,0,1,CRY (A)
388,Curtis Jones,Liverpool,12,3,5.4,7.082012661622231,1,0,0,LEE (H)
16,Bukayo Saka,Arsenal,1,3,10.1,5.404299998577212,1,0,0,AVL (H)
354,Ethan Ampadu,Leeds,11,3,4.9,5.100114157376304,1,0,0,LIV (A)
358,Tanaka Ao,Leeds,11,3,4.8,5.058027541653356,1,0,0,LIV (A)
526,Igor Jesus Maciel da Cruz,Nott'm Forest,16,4,5.8,4.1963525938653365,1,0,0,EVE (H)
