player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
736,Gianluigi Donnarumma,Man City,13,1,5.7,6.295985227497637,1,0,0,NEW (A)
110,Michael Kayode,Brentford,5,2,4.5,7.471667942752486,1,0,1,BHA (A)
258,Tyrick Mitchell,Crystal Palace,8,2,5.0,6.573398704602649,1,0,0,WOL (A)
257,Maxence Lacroix,Crystal Palace,8,2,5.0,4.70757742618386,1,0,0,WOL (A)
106,Nathan Collins,Brentford,5,2,4.9,4.620138814702036,1,0,0,BHA (A)
593,Pape Matar Sarr,Spurs,18,3,4.8,6.030418724627097,1,0,0,ARS (A)
19,Gabriel Martinelli Silva,Arsenal,1,3,6.8,5.100712494752136,1,0,0,TOT (H)
722,Florentino Ibrain Morris Luís,Burnley,3,3,5.0,4.91183440180402,1,0,0,CHE (H)
81,Justin Kluivert,Bournemouth,4,3,7.0,4.647473207876416,1,0,0,WHU (H)
387,Dominik Szoboszlai,Liverpool,12,3,6.6,4.16039153899408,1,0,0,NFO (H)
136,Igor Thiago Nascimento Rodrigues,Brentford,5,4,6.3,4.539222106929342,1,0,0,BHA (A)
