model,balanced_accuracy_mean,balanced_accuracy_std,mae_mean,mae_std
Histogram Gradient Boosting,1.0,0.0,0.9817013776931831,0.05708765930131543
Random Forest,1.0,0.0,0.9753671001350579,0.07185777536931802
Neural Network (MLP),0.9965270942960088,0.0004586526330263735,1.0164909506184994,0.12277920933117371
